tenant_id,parent_item,component_item,usage_qty,created_at,updated_at
apex,SFG001,RM001,0.55,2026-05-31T00:00:00Z,2026-05-31T00:00:00Z
apex,SFG001,RM002,0.25,2026-05-31T00:00:00Z,2026-05-31T00:00:00Z
apex,SFG001,RM003,0.1,2026-05-31T00:00:00Z,2026-05-31T00:00:00Z
apex,SFG001,RM016,0.05,2026-05-31T00:00:00Z,2026-05-31T00:00:00Z
apex,SFG001,RM017,0.02,2026-05-31T00:00:00Z,2026-05-31T00:00:00Z
apex,SFG001,RM020,0.03,2026-05-31T00:00:00Z,2026-05-31T00:00:00Z
apex,SFG002,RM011,0.85,2026-05-31T00:00:00Z,2026-05-31T00:00:00Z
apex,SFG002,RM019,0.1,2026-05-31T00:00:00Z,2026-05-31T00:00:00Z
apex,SFG002,RM018,0.05,2026-05-31T00:00:00Z,2026-05-31T00:00:00Z
apex,FG001,SFG001,1.0,2026-05-31T00:00:00Z,2026-05-31T00:00:00Z
apex,FG001,PM001,1,2026-05-31T00:00:00Z,2026-05-31T00:00:00Z
apex,FG001,PM004,1,2026-05-31T00:00:00Z,2026-05-31T00:00:00Z
apex,FG001,PM005,0.1,2026-05-31T00:00:00Z,2026-05-31T00:00:00Z
apex,FG002,SFG001,2.4,2026-05-31T00:00:00Z,2026-05-31T00:00:00Z
apex,FG002,RM003,0.55,2026-05-31T00:00:00Z,2026-05-31T00:00:00Z
apex,FG002,RM004,0.2,2026-05-31T00:00:00Z,2026-05-31T00:00:00Z
apex,FG002,PM002,1,2026-05-31T00:00:00Z,2026-05-31T00:00:00Z
apex,FG002,PM004,1,2026-05-31T00:00:00Z,2026-05-31T00:00:00Z
apex,FG002,PM005,0.1,2026-05-31T00:00:00Z,2026-05-31T00:00:00Z
apex,FG003,SFG002,0.12,2026-05-31T00:00:00Z,2026-05-31T00:00:00Z
apex,FG003,PM003,1,2026-05-31T00:00:00Z,2026-05-31T00:00:00Z
apex,FG003,PM004,1,2026-05-31T00:00:00Z,2026-05-31T00:00:00Z
apex,FG003,PM005,0.05,2026-05-31T00:00:00Z,2026-05-31T00:00:00Z
apex,FG004,RM013,0.018,2026-05-31T00:00:00Z,2026-05-31T00:00:00Z
apex,FG004,RM020,0.002,2026-05-31T00:00:00Z,2026-05-31T00:00:00Z
apex,FG004,PM003,1,2026-05-31T00:00:00Z,2026-05-31T00:00:00Z
apex,FG004,PM004,1,2026-05-31T00:00:00Z,2026-05-31T00:00:00Z
apex,FG004,PM005,0.05,2026-05-31T00:00:00Z,2026-05-31T00:00:00Z
apex,FG005,RM005,0.25,2026-05-31T00:00:00Z,2026-05-31T00:00:00Z
apex,FG005,RM016,0.005,2026-05-31T00:00:00Z,2026-05-31T00:00:00Z
apex,FG005,PM001,1,2026-05-31T00:00:00Z,2026-05-31T00:00:00Z
apex,FG005,PM004,1,2026-05-31T00:00:00Z,2026-05-31T00:00:00Z
apex,FG005,PM005,0.08,2026-05-31T00:00:00Z,2026-05-31T00:00:00Z
apex,FG006,RM006,0.02,2026-05-31T00:00:00Z,2026-05-31T00:00:00Z
apex,FG006,RM007,0.1,2026-05-31T00:00:00Z,2026-05-31T00:00:00Z
apex,FG006,RM003,0.12,2026-05-31T00:00:00Z,2026-05-31T00:00:00Z
apex,FG006,RM016,0.04,2026-05-31T00:00:00Z,2026-05-31T00:00:00Z
apex,FG006,RM017,0.02,2026-05-31T00:00:00Z,2026-05-31T00:00:00Z
apex,FG006,PM001,1,2026-05-31T00:00:00Z,2026-05-31T00:00:00Z
apex,FG006,PM004,1,2026-05-31T00:00:00Z,2026-05-31T00:00:00Z
apex,FG006,PM005,0.08,2026-05-31T00:00:00Z,2026-05-31T00:00:00Z
apex,FG007,RM008,0.2,2026-05-31T00:00:00Z,2026-05-31T00:00:00Z
apex,FG007,RM009,0.1,2026-05-31T00:00:00Z,2026-05-31T00:00:00Z
apex,FG007,RM010,0.1,2026-05-31T00:00:00Z,2026-05-31T00:00:00Z
apex,FG007,RM016,0.03,2026-05-31T00:00:00Z,2026-05-31T00:00:00Z
apex,FG007,PM001,1,2026-05-31T00:00:00Z,2026-05-31T00:00:00Z
apex,FG007,PM004,1,2026-05-31T00:00:00Z,2026-05-31T00:00:00Z
apex,FG007,PM005,0.08,2026-05-31T00:00:00Z,2026-05-31T00:00:00Z
apex,FG008,SFG002,0.15,2026-05-31T00:00:00Z,2026-05-31T00:00:00Z
apex,FG008,PM003,1,2026-05-31T00:00:00Z,2026-05-31T00:00:00Z
apex,FG008,PM004,1,2026-05-31T00:00:00Z,2026-05-31T00:00:00Z
apex,FG008,PM005,0.05,2026-05-31T00:00:00Z,2026-05-31T00:00:00Z
apex,FG009,RM012,0.004,2026-05-31T00:00:00Z,2026-05-31T00:00:00Z
apex,FG009,RM020,0.002,2026-05-31T00:00:00Z,2026-05-31T00:00:00Z
apex,FG009,PM003,1,2026-05-31T00:00:00Z,2026-05-31T00:00:00Z
apex,FG009,PM004,1,2026-05-31T00:00:00Z,2026-05-31T00:00:00Z
apex,FG009,PM005,0.04,2026-05-31T00:00:00Z,2026-05-31T00:00:00Z
apex,FG010,RM014,0.05,2026-05-31T00:00:00Z,2026-05-31T00:00:00Z
apex,FG010,RM015,0.2,2026-05-31T00:00:00Z,2026-05-31T00:00:00Z
apex,FG010,RM003,0.2,2026-05-31T00:00:00Z,2026-05-31T00:00:00Z
apex,FG010,RM016,0.03,2026-05-31T00:00:00Z,2026-05-31T00:00:00Z
apex,FG010,RM017,0.02,2026-05-31T00:00:00Z,2026-05-31T00:00:00Z
apex,FG010,PM001,1,2026-05-31T00:00:00Z,2026-05-31T00:00:00Z
apex,FG010,PM004,1,2026-05-31T00:00:00Z,2026-05-31T00:00:00Z
apex,FG010,PM005,0.08,2026-05-31T00:00:00Z,2026-05-31T00:00:00Z
