tenant_id,item_code,production_cost,holding_cost_pct_month,created_at,updated_at
apex,FG001,1314.73,0.02,2026-05-31T00:00:00Z,2026-05-31T00:00:00Z
apex,FG002,1489.19,0.02,2026-05-31T00:00:00Z,2026-05-31T00:00:00Z
apex,FG003,413.71,0.02,2026-05-31T00:00:00Z,2026-05-31T00:00:00Z
apex,FG004,274.66,0.02,2026-05-31T00:00:00Z,2026-05-31T00:00:00Z
apex,FG005,631.66,0.02,2026-05-31T00:00:00Z,2026-05-31T00:00:00Z
apex,FG006,691.8,0.02,2026-05-31T00:00:00Z,2026-05-31T00:00:00Z
apex,FG007,752.95,0.02,2026-05-31T00:00:00Z,2026-05-31T00:00:00Z
apex,FG008,577.72,0.02,2026-05-31T00:00:00Z,2026-05-31T00:00:00Z
apex,FG009,216.36,0.02,2026-05-31T00:00:00Z,2026-05-31T00:00:00Z
apex,FG010,367.72,0.02,2026-05-31T00:00:00Z,2026-05-31T00:00:00Z
apex,SFG001,265.68,0.02,2026-05-31T00:00:00Z,2026-05-31T00:00:00Z
apex,SFG002,288.58,0.02,2026-05-31T00:00:00Z,2026-05-31T00:00:00Z
