tenant_id,item_code,location_code,on_hand_qty,created_at,updated_at
apex,FG001,DC_DEL,314,2026-05-31T00:00:00Z,2026-05-31T00:00:00Z
apex,FG001,DC_MUM,232,2026-05-31T00:00:00Z,2026-05-31T00:00:00Z
apex,FG001,DC_BLR,181,2026-05-31T00:00:00Z,2026-05-31T00:00:00Z
apex,FG002,DC_DEL,117,2026-05-31T00:00:00Z,2026-05-31T00:00:00Z
apex,FG002,DC_MUM,100,2026-05-31T00:00:00Z,2026-05-31T00:00:00Z
apex,FG002,DC_BLR,55,2026-05-31T00:00:00Z,2026-05-31T00:00:00Z
apex,FG003,DC_DEL,147,2026-05-31T00:00:00Z,2026-05-31T00:00:00Z
apex,FG003,DC_MUM,150,2026-05-31T00:00:00Z,2026-05-31T00:00:00Z
apex,FG003,DC_BLR,89,2026-05-31T00:00:00Z,2026-05-31T00:00:00Z
apex,FG004,DC_DEL,157,2026-05-31T00:00:00Z,2026-05-31T00:00:00Z
apex,FG004,DC_MUM,229,2026-05-31T00:00:00Z,2026-05-31T00:00:00Z
apex,FG004,DC_BLR,91,2026-05-31T00:00:00Z,2026-05-31T00:00:00Z
apex,FG005,DC_DEL,287,2026-05-31T00:00:00Z,2026-05-31T00:00:00Z
apex,FG005,DC_MUM,150,2026-05-31T00:00:00Z,2026-05-31T00:00:00Z
apex,FG005,DC_BLR,107,2026-05-31T00:00:00Z,2026-05-31T00:00:00Z
apex,FG006,DC_DEL,294,2026-05-31T00:00:00Z,2026-05-31T00:00:00Z
apex,FG006,DC_MUM,268,2026-05-31T00:00:00Z,2026-05-31T00:00:00Z
apex,FG006,DC_BLR,164,2026-05-31T00:00:00Z,2026-05-31T00:00:00Z
apex,FG007,DC_DEL,101,2026-05-31T00:00:00Z,2026-05-31T00:00:00Z
apex,FG007,DC_MUM,87,2026-05-31T00:00:00Z,2026-05-31T00:00:00Z
apex,FG007,DC_BLR,53,2026-05-31T00:00:00Z,2026-05-31T00:00:00Z
apex,FG008,DC_DEL,83,2026-05-31T00:00:00Z,2026-05-31T00:00:00Z
apex,FG008,DC_MUM,88,2026-05-31T00:00:00Z,2026-05-31T00:00:00Z
apex,FG008,DC_BLR,77,2026-05-31T00:00:00Z,2026-05-31T00:00:00Z
apex,FG009,DC_DEL,161,2026-05-31T00:00:00Z,2026-05-31T00:00:00Z
apex,FG009,DC_MUM,150,2026-05-31T00:00:00Z,2026-05-31T00:00:00Z
apex,FG009,DC_BLR,99,2026-05-31T00:00:00Z,2026-05-31T00:00:00Z
apex,FG010,DC_DEL,309,2026-05-31T00:00:00Z,2026-05-31T00:00:00Z
apex,FG010,DC_MUM,220,2026-05-31T00:00:00Z,2026-05-31T00:00:00Z
apex,FG010,DC_BLR,132,2026-05-31T00:00:00Z,2026-05-31T00:00:00Z
apex,RM001,PLANT_BDI,951,2026-05-31T00:00:00Z,2026-05-31T00:00:00Z
apex,RM002,PLANT_BDI,476,2026-05-31T00:00:00Z,2026-05-31T00:00:00Z
apex,RM003,PLANT_BDI,1053,2026-05-31T00:00:00Z,2026-05-31T00:00:00Z
apex,RM004,PLANT_BDI,491,2026-05-31T00:00:00Z,2026-05-31T00:00:00Z
apex,RM005,PLANT_BDI,340,2026-05-31T00:00:00Z,2026-05-31T00:00:00Z
apex,RM006,PLANT_BDI,1298,2026-05-31T00:00:00Z,2026-05-31T00:00:00Z
apex,RM007,PLANT_BDI,677,2026-05-31T00:00:00Z,2026-05-31T00:00:00Z
apex,RM008,PLANT_BDI,1191,2026-05-31T00:00:00Z,2026-05-31T00:00:00Z
apex,RM009,PLANT_BDI,946,2026-05-31T00:00:00Z,2026-05-31T00:00:00Z
apex,RM010,PLANT_BDI,1249,2026-05-31T00:00:00Z,2026-05-31T00:00:00Z
apex,RM011,PLANT_BDI,1298,2026-05-31T00:00:00Z,2026-05-31T00:00:00Z
apex,RM012,PLANT_BDI,1466,2026-05-31T00:00:00Z,2026-05-31T00:00:00Z
apex,RM013,PLANT_BDI,1263,2026-05-31T00:00:00Z,2026-05-31T00:00:00Z
apex,RM014,PLANT_BDI,997,2026-05-31T00:00:00Z,2026-05-31T00:00:00Z
apex,RM015,PLANT_BDI,1035,2026-05-31T00:00:00Z,2026-05-31T00:00:00Z
apex,RM016,PLANT_BDI,234,2026-05-31T00:00:00Z,2026-05-31T00:00:00Z
apex,RM017,PLANT_BDI,1407,2026-05-31T00:00:00Z,2026-05-31T00:00:00Z
apex,RM018,PLANT_BDI,1278,2026-05-31T00:00:00Z,2026-05-31T00:00:00Z
apex,RM019,PLANT_BDI,547,2026-05-31T00:00:00Z,2026-05-31T00:00:00Z
apex,RM020,PLANT_BDI,434,2026-05-31T00:00:00Z,2026-05-31T00:00:00Z
apex,PM001,PLANT_BDI,6216,2026-05-31T00:00:00Z,2026-05-31T00:00:00Z
apex,PM002,PLANT_BDI,3853,2026-05-31T00:00:00Z,2026-05-31T00:00:00Z
apex,PM003,PLANT_BDI,4038,2026-05-31T00:00:00Z,2026-05-31T00:00:00Z
apex,PM004,PLANT_BDI,2036,2026-05-31T00:00:00Z,2026-05-31T00:00:00Z
apex,PM005,PLANT_BDI,7219,2026-05-31T00:00:00Z,2026-05-31T00:00:00Z
apex,SFG001,PLANT_BDI,269,2026-05-31T00:00:00Z,2026-05-31T00:00:00Z
apex,SFG002,PLANT_BDI,220,2026-05-31T00:00:00Z,2026-05-31T00:00:00Z
