tenant_id,item_code,resource_code,runtime_hr_per_unit,created_at,updated_at
apex,SFG001,MIX_LINE_01,0.06,2026-05-31T00:00:00Z,2026-05-31T00:00:00Z
apex,SFG001,MIX_LINE_02,0.06,2026-05-31T00:00:00Z,2026-05-31T00:00:00Z
apex,SFG002,MIX_LINE_01,0.1,2026-05-31T00:00:00Z,2026-05-31T00:00:00Z
apex,FG001,FILL_LINE_01,0.05,2026-05-31T00:00:00Z,2026-05-31T00:00:00Z
apex,FG001,PACK_LINE_01,0.04,2026-05-31T00:00:00Z,2026-05-31T00:00:00Z
apex,FG001,LABEL_LINE_01,0.02,2026-05-31T00:00:00Z,2026-05-31T00:00:00Z
apex,FG002,FILL_LINE_01,0.05,2026-05-31T00:00:00Z,2026-05-31T00:00:00Z
apex,FG002,PACK_LINE_01,0.04,2026-05-31T00:00:00Z,2026-05-31T00:00:00Z
apex,FG002,LABEL_LINE_01,0.02,2026-05-31T00:00:00Z,2026-05-31T00:00:00Z
apex,FG005,FILL_LINE_01,0.05,2026-05-31T00:00:00Z,2026-05-31T00:00:00Z
apex,FG005,PACK_LINE_01,0.04,2026-05-31T00:00:00Z,2026-05-31T00:00:00Z
apex,FG005,LABEL_LINE_01,0.02,2026-05-31T00:00:00Z,2026-05-31T00:00:00Z
apex,FG006,FILL_LINE_01,0.05,2026-05-31T00:00:00Z,2026-05-31T00:00:00Z
apex,FG006,PACK_LINE_01,0.04,2026-05-31T00:00:00Z,2026-05-31T00:00:00Z
apex,FG006,LABEL_LINE_01,0.02,2026-05-31T00:00:00Z,2026-05-31T00:00:00Z
apex,FG007,FILL_LINE_01,0.05,2026-05-31T00:00:00Z,2026-05-31T00:00:00Z
apex,FG007,PACK_LINE_01,0.04,2026-05-31T00:00:00Z,2026-05-31T00:00:00Z
apex,FG007,LABEL_LINE_01,0.02,2026-05-31T00:00:00Z,2026-05-31T00:00:00Z
apex,FG010,FILL_LINE_01,0.05,2026-05-31T00:00:00Z,2026-05-31T00:00:00Z
apex,FG010,PACK_LINE_01,0.04,2026-05-31T00:00:00Z,2026-05-31T00:00:00Z
apex,FG010,LABEL_LINE_01,0.02,2026-05-31T00:00:00Z,2026-05-31T00:00:00Z
apex,FG003,FILL_LINE_01,0.03,2026-05-31T00:00:00Z,2026-05-31T00:00:00Z
apex,FG003,PACK_LINE_02,0.03,2026-05-31T00:00:00Z,2026-05-31T00:00:00Z
apex,FG003,LABEL_LINE_01,0.02,2026-05-31T00:00:00Z,2026-05-31T00:00:00Z
apex,FG004,FILL_LINE_01,0.03,2026-05-31T00:00:00Z,2026-05-31T00:00:00Z
apex,FG004,PACK_LINE_02,0.03,2026-05-31T00:00:00Z,2026-05-31T00:00:00Z
apex,FG004,LABEL_LINE_01,0.02,2026-05-31T00:00:00Z,2026-05-31T00:00:00Z
apex,FG008,FILL_LINE_01,0.03,2026-05-31T00:00:00Z,2026-05-31T00:00:00Z
apex,FG008,PACK_LINE_02,0.03,2026-05-31T00:00:00Z,2026-05-31T00:00:00Z
apex,FG008,LABEL_LINE_01,0.02,2026-05-31T00:00:00Z,2026-05-31T00:00:00Z
apex,FG009,FILL_LINE_01,0.03,2026-05-31T00:00:00Z,2026-05-31T00:00:00Z
apex,FG009,PACK_LINE_02,0.03,2026-05-31T00:00:00Z,2026-05-31T00:00:00Z
apex,FG009,LABEL_LINE_01,0.02,2026-05-31T00:00:00Z,2026-05-31T00:00:00Z
