tenant_id,so_number,item_code,location_code,quantity,required_date,priority,status,created_at,updated_at
apex,SO00001,FG001,DC_DEL,146,2026-04-06,Medium,OPEN,2026-05-31T00:00:00Z,2026-05-31T00:00:00Z
apex,SO00002,FG001,DC_DEL,83,2026-04-21,Medium,OPEN,2026-05-31T00:00:00Z,2026-05-31T00:00:00Z
apex,SO00003,FG002,DC_BLR,38,2026-04-09,Low,OPEN,2026-05-31T00:00:00Z,2026-05-31T00:00:00Z
apex,SO00004,FG002,DC_DEL,20,2026-04-11,High,OPEN,2026-05-31T00:00:00Z,2026-05-31T00:00:00Z
apex,SO00005,FG002,DC_DEL,65,2026-04-11,High,OPEN,2026-05-31T00:00:00Z,2026-05-31T00:00:00Z
apex,SO00006,FG003,DC_MUM,105,2026-04-07,Medium,OPEN,2026-05-31T00:00:00Z,2026-05-31T00:00:00Z
apex,SO00007,FG004,DC_BLR,67,2026-04-18,Low,OPEN,2026-05-31T00:00:00Z,2026-05-31T00:00:00Z
apex,SO00008,FG004,DC_MUM,48,2026-04-27,High,OPEN,2026-05-31T00:00:00Z,2026-05-31T00:00:00Z
apex,SO00009,FG004,DC_MUM,42,2026-04-28,Medium,OPEN,2026-05-31T00:00:00Z,2026-05-31T00:00:00Z
apex,SO00010,FG005,DC_MUM,74,2026-04-22,Medium,OPEN,2026-05-31T00:00:00Z,2026-05-31T00:00:00Z
apex,SO00011,FG005,DC_MUM,37,2026-04-03,Medium,OPEN,2026-05-31T00:00:00Z,2026-05-31T00:00:00Z
apex,SO00012,FG005,DC_DEL,93,2026-04-20,Low,OPEN,2026-05-31T00:00:00Z,2026-05-31T00:00:00Z
apex,SO00013,FG006,DC_DEL,57,2026-04-05,Medium,OPEN,2026-05-31T00:00:00Z,2026-05-31T00:00:00Z
apex,SO00014,FG006,DC_BLR,55,2026-04-05,Medium,OPEN,2026-05-31T00:00:00Z,2026-05-31T00:00:00Z
apex,SO00015,FG007,DC_MUM,29,2026-04-24,High,OPEN,2026-05-31T00:00:00Z,2026-05-31T00:00:00Z
apex,SO00016,FG007,DC_BLR,50,2026-04-17,High,OPEN,2026-05-31T00:00:00Z,2026-05-31T00:00:00Z
apex,SO00017,FG007,DC_MUM,35,2026-04-29,Low,OPEN,2026-05-31T00:00:00Z,2026-05-31T00:00:00Z
apex,SO00018,FG008,DC_DEL,29,2026-04-10,High,OPEN,2026-05-31T00:00:00Z,2026-05-31T00:00:00Z
apex,SO00019,FG009,DC_DEL,98,2026-04-21,High,OPEN,2026-05-31T00:00:00Z,2026-05-31T00:00:00Z
apex,SO00020,FG009,DC_BLR,74,2026-04-24,Low,OPEN,2026-05-31T00:00:00Z,2026-05-31T00:00:00Z
apex,SO00021,FG009,DC_MUM,91,2026-04-27,Low,OPEN,2026-05-31T00:00:00Z,2026-05-31T00:00:00Z
apex,SO00022,FG010,DC_BLR,68,2026-04-30,Medium,OPEN,2026-05-31T00:00:00Z,2026-05-31T00:00:00Z
apex,SO00023,FG010,DC_DEL,81,2026-04-16,Low,OPEN,2026-05-31T00:00:00Z,2026-05-31T00:00:00Z
apex,SO00024,FG010,DC_MUM,118,2026-04-19,Medium,OPEN,2026-05-31T00:00:00Z,2026-05-31T00:00:00Z
