tenant_id,item_code,target_service_level,created_at,updated_at
apex,FG001,0.98,2026-05-31T00:00:00Z,2026-05-31T00:00:00Z
apex,FG002,0.98,2026-05-31T00:00:00Z,2026-05-31T00:00:00Z
apex,FG003,0.95,2026-05-31T00:00:00Z,2026-05-31T00:00:00Z
apex,FG004,0.98,2026-05-31T00:00:00Z,2026-05-31T00:00:00Z
apex,FG005,0.95,2026-05-31T00:00:00Z,2026-05-31T00:00:00Z
apex,FG006,0.95,2026-05-31T00:00:00Z,2026-05-31T00:00:00Z
apex,FG007,0.9,2026-05-31T00:00:00Z,2026-05-31T00:00:00Z
apex,FG008,0.95,2026-05-31T00:00:00Z,2026-05-31T00:00:00Z
apex,FG009,0.9,2026-05-31T00:00:00Z,2026-05-31T00:00:00Z
apex,FG010,0.95,2026-05-31T00:00:00Z,2026-05-31T00:00:00Z
