tenant_id,supplier_code,item_code,unit_price,moq,lead_time_days,created_at,updated_at
apex,SUP_INGA,RM001,480,100,21,2026-05-31T00:00:00Z,2026-05-31T00:00:00Z
apex,SUP_INGB,RM001,508.8,150,30,2026-05-31T00:00:00Z,2026-05-31T00:00:00Z
apex,SUP_INGB,RM002,720,150,28,2026-05-31T00:00:00Z,2026-05-31T00:00:00Z
apex,SUP_INGC,RM002,763.2,150,30,2026-05-31T00:00:00Z,2026-05-31T00:00:00Z
apex,SUP_INGC,RM003,95,200,35,2026-05-31T00:00:00Z,2026-05-31T00:00:00Z
apex,SUP_INGA,RM004,320,100,21,2026-05-31T00:00:00Z,2026-05-31T00:00:00Z
apex,SUP_INGB,RM005,1100,150,28,2026-05-31T00:00:00Z,2026-05-31T00:00:00Z
apex,SUP_INGC,RM005,1166.0,150,30,2026-05-31T00:00:00Z,2026-05-31T00:00:00Z
apex,SUP_INGC,RM006,1800,200,35,2026-05-31T00:00:00Z,2026-05-31T00:00:00Z
apex,SUP_INGB,RM006,1908.0,150,30,2026-05-31T00:00:00Z,2026-05-31T00:00:00Z
apex,SUP_INGA,RM007,1500,100,21,2026-05-31T00:00:00Z,2026-05-31T00:00:00Z
apex,SUP_INGB,RM008,1300,150,28,2026-05-31T00:00:00Z,2026-05-31T00:00:00Z
apex,SUP_INGC,RM009,1250,200,35,2026-05-31T00:00:00Z,2026-05-31T00:00:00Z
apex,SUP_INGA,RM010,1250,100,21,2026-05-31T00:00:00Z,2026-05-31T00:00:00Z
apex,SUP_INGB,RM011,640,150,28,2026-05-31T00:00:00Z,2026-05-31T00:00:00Z
apex,SUP_INGC,RM011,678.4,150,30,2026-05-31T00:00:00Z,2026-05-31T00:00:00Z
apex,SUP_INGC,RM012,2200,200,35,2026-05-31T00:00:00Z,2026-05-31T00:00:00Z
apex,SUP_INGA,RM013,980,100,21,2026-05-31T00:00:00Z,2026-05-31T00:00:00Z
apex,SUP_INGB,RM013,1038.8,150,30,2026-05-31T00:00:00Z,2026-05-31T00:00:00Z
apex,SUP_INGB,RM014,110,150,28,2026-05-31T00:00:00Z,2026-05-31T00:00:00Z
apex,SUP_INGC,RM015,130,200,35,2026-05-31T00:00:00Z,2026-05-31T00:00:00Z
apex,SUP_INGA,RM016,850,100,21,2026-05-31T00:00:00Z,2026-05-31T00:00:00Z
apex,SUP_INGB,RM017,1400,150,28,2026-05-31T00:00:00Z,2026-05-31T00:00:00Z
apex,SUP_INGC,RM018,540,200,35,2026-05-31T00:00:00Z,2026-05-31T00:00:00Z
apex,SUP_INGA,RM019,180,100,21,2026-05-31T00:00:00Z,2026-05-31T00:00:00Z
apex,SUP_INGB,RM020,240,150,28,2026-05-31T00:00:00Z,2026-05-31T00:00:00Z
apex,SUP_PACKA,PM001,28,500,14,2026-05-31T00:00:00Z,2026-05-31T00:00:00Z
apex,SUP_PACKB,PM002,52,1000,10,2026-05-31T00:00:00Z,2026-05-31T00:00:00Z
apex,SUP_PACKA,PM003,14,500,14,2026-05-31T00:00:00Z,2026-05-31T00:00:00Z
apex,SUP_PACKB,PM004,3,1000,10,2026-05-31T00:00:00Z,2026-05-31T00:00:00Z
apex,SUP_PACKA,PM005,18,500,14,2026-05-31T00:00:00Z,2026-05-31T00:00:00Z
