tenant_id,lane_code,from_location,to_location,item_code,transport_mode,lead_time_days,min_lot_size,min_lot_uom,cost_per_unit
apex,LANE_BDI_DC_DEL_FG001,PLANT_BDI,DC_DEL,FG001,ROAD,3,50,ea,
apex,LANE_BDI_DC_MUM_FG001,PLANT_BDI,DC_MUM,FG001,ROAD,4,50,ea,
apex,LANE_BDI_DC_BLR_FG001,PLANT_BDI,DC_BLR,FG001,ROAD,5,50,ea,
apex,LANE_BDI_DC_DEL_FG002,PLANT_BDI,DC_DEL,FG002,ROAD,3,50,ea,
apex,LANE_BDI_DC_MUM_FG002,PLANT_BDI,DC_MUM,FG002,ROAD,4,50,ea,
apex,LANE_BDI_DC_BLR_FG002,PLANT_BDI,DC_BLR,FG002,ROAD,5,50,ea,
apex,LANE_BDI_DC_DEL_FG003,PLANT_BDI,DC_DEL,FG003,ROAD,3,50,ea,
apex,LANE_BDI_DC_MUM_FG003,PLANT_BDI,DC_MUM,FG003,ROAD,4,50,ea,
apex,LANE_BDI_DC_BLR_FG003,PLANT_BDI,DC_BLR,FG003,ROAD,5,50,ea,
apex,LANE_BDI_DC_DEL_FG004,PLANT_BDI,DC_DEL,FG004,ROAD,3,50,ea,
apex,LANE_BDI_DC_MUM_FG004,PLANT_BDI,DC_MUM,FG004,ROAD,4,50,ea,
apex,LANE_BDI_DC_BLR_FG004,PLANT_BDI,DC_BLR,FG004,ROAD,5,50,ea,
apex,LANE_BDI_DC_DEL_FG005,PLANT_BDI,DC_DEL,FG005,ROAD,3,50,ea,
apex,LANE_BDI_DC_MUM_FG005,PLANT_BDI,DC_MUM,FG005,ROAD,4,50,ea,
apex,LANE_BDI_DC_BLR_FG005,PLANT_BDI,DC_BLR,FG005,ROAD,5,50,ea,
apex,LANE_PUN_DC_DEL_FG006,PLANT_PUN,DC_DEL,FG006,ROAD,5,50,ea,
apex,LANE_PUN_DC_MUM_FG006,PLANT_PUN,DC_MUM,FG006,ROAD,2,50,ea,
apex,LANE_PUN_DC_BLR_FG006,PLANT_PUN,DC_BLR,FG006,ROAD,3,50,ea,
apex,LANE_PUN_DC_DEL_FG007,PLANT_PUN,DC_DEL,FG007,ROAD,5,50,ea,
apex,LANE_PUN_DC_MUM_FG007,PLANT_PUN,DC_MUM,FG007,ROAD,2,50,ea,
apex,LANE_PUN_DC_BLR_FG007,PLANT_PUN,DC_BLR,FG007,ROAD,3,50,ea,
apex,LANE_PUN_DC_DEL_FG008,PLANT_PUN,DC_DEL,FG008,ROAD,5,50,ea,
apex,LANE_PUN_DC_MUM_FG008,PLANT_PUN,DC_MUM,FG008,ROAD,2,50,ea,
apex,LANE_PUN_DC_BLR_FG008,PLANT_PUN,DC_BLR,FG008,ROAD,3,50,ea,
apex,LANE_PUN_DC_DEL_FG009,PLANT_PUN,DC_DEL,FG009,ROAD,5,50,ea,
apex,LANE_PUN_DC_MUM_FG009,PLANT_PUN,DC_MUM,FG009,ROAD,2,50,ea,
apex,LANE_PUN_DC_BLR_FG009,PLANT_PUN,DC_BLR,FG009,ROAD,3,50,ea,
apex,LANE_PUN_DC_DEL_FG010,PLANT_PUN,DC_DEL,FG010,ROAD,5,50,ea,
apex,LANE_PUN_DC_MUM_FG010,PLANT_PUN,DC_MUM,FG010,ROAD,2,50,ea,
apex,LANE_PUN_DC_BLR_FG010,PLANT_PUN,DC_BLR,FG010,ROAD,3,50,ea,
apex,LANE_INGA_BDI,SUP_INGA,PLANT_BDI,,ROAD,21,100,kg,
apex,LANE_INGB_BDI,SUP_INGB,PLANT_BDI,,ROAD,28,150,kg,
apex,LANE_INGB_PUN,SUP_INGB,PLANT_PUN,,ROAD,28,150,kg,
apex,LANE_INGC_BDI,SUP_INGC,PLANT_BDI,,ROAD,35,200,kg,
apex,LANE_INGC_PUN,SUP_INGC,PLANT_PUN,,ROAD,35,200,kg,
apex,LANE_INGD_BDI,SUP_INGD,PLANT_BDI,,ROAD,25,100,kg,
apex,LANE_INGD_PUN,SUP_INGD,PLANT_PUN,,ROAD,25,100,kg,
apex,LANE_INGE_BDI,SUP_INGE,PLANT_BDI,,ROAD,30,200,kg,
apex,LANE_PKGA_BDI,SUP_PKGA,PLANT_BDI,,ROAD,14,500,ea,
apex,LANE_PKGA_PUN,SUP_PKGA,PLANT_PUN,,ROAD,14,500,ea,
apex,LANE_PKGB_BDI,SUP_PKGB,PLANT_BDI,,ROAD,21,300,ea,
apex,LANE_PKGB_PUN,SUP_PKGB,PLANT_PUN,,ROAD,21,300,ea,
